epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,1217.37,0.79054,1.13342,0.94492,0.97695,1,0.9946,0.80728,0.69505,1.08916,0.98217,0.0003962,0.0003962,0.0003962
83,1231.87,0.88191,1.09322,1.03946,0.97656,1,0.9946,0.81414,0.69341,1.01008,0.97942,0.0003764,0.0003764,0.0003764
84,1246.17,0.74555,1.16662,0.90963,0.97656,1,0.9946,0.81414,0.69341,1.01008,0.97942,0.0003566,0.0003566,0.0003566
85,1261.42,0.78313,1.14536,0.9452,0.99497,1,0.995,0.8264,0.67983,1.05937,0.96593,0.0003368,0.0003368,0.0003368
86,1276.32,0.79966,1.01662,1.04455,0.99646,1,0.995,0.83727,0.65094,1.03838,0.96388,0.000317,0.000317,0.000317
87,1290.55,0.69892,1.00067,0.92228,0.99333,1,0.995,0.82768,0.65495,1.10315,0.95766,0.0002972,0.0002972,0.0002972
88,1304.61,0.72384,1.03009,0.89881,0.99725,1,0.995,0.83094,0.66732,1.13252,0.96298,0.0002774,0.0002774,0.0002774
89,1318.71,0.74928,1.03019,0.97554,0.99725,1,0.995,0.83094,0.66732,1.13252,0.96298,0.0002576,0.0002576,0.0002576
90,1332.87,0.79988,0.95284,0.9932,0.9961,1,0.995,0.82869,0.66867,1.18837,0.96037,0.0002378,0.0002378,0.0002378
91,1346.76,0.66413,0.91249,0.96269,0.99866,1,0.995,0.82159,0.66424,0.99016,0.97998,0.000218,0.000218,0.000218
92,1360.7,0.69932,0.87064,0.94357,0.99886,1,0.995,0.8222,0.64951,0.95198,0.97215,0.0001982,0.0001982,0.0001982
93,1374.47,0.65323,0.89281,0.91822,0.99886,1,0.995,0.8222,0.64951,0.95198,0.97215,0.0001784,0.0001784,0.0001784
94,1388.33,0.69353,0.95053,0.92142,0.99864,1,0.995,0.83452,0.63789,0.90122,0.96959,0.0001586,0.0001586,0.0001586
95,1402.06,0.70528,0.92382,0.95574,0.99874,1,0.995,0.83818,0.63884,0.90032,0.96421,0.0001388,0.0001388,0.0001388
96,1415.9,0.72311,0.94058,0.94649,0.99842,1,0.995,0.83685,0.6356,0.89419,0.96714,0.000119,0.000119,0.000119
97,1429.65,0.57898,0.92115,0.88107,0.99842,1,0.995,0.83685,0.6356,0.89419,0.96714,9.92e-05,9.92e-05,9.92e-05
98,1443.62,0.69635,0.94228,0.93333,0.99699,1,0.995,0.84151,0.64778,0.98577,0.95682,7.94e-05,7.94e-05,7.94e-05
99,1457.43,0.63627,0.92739,0.94773,0.99823,1,0.995,0.82984,0.64604,0.93104,0.95989,5.96e-05,5.96e-05,5.96e-05
100,1471.27,0.59474,0.89381,0.88695,0.99846,1,0.995,0.83797,0.64854,0.88269,0.96513,3.98e-05,3.98e-05,3.98e-05
